¥i§ë¸ê,¤½¥q¥N½X,¶}½L»ù,³Ì°ª»ù,³Ì§C»ù,¦¬½L»ù,º¦¶^,¥»¯q¤ñ,¦¨¥æ¶q,¦P·~¥­§¡¥»¯q¤ñ,´Þ§Q²v,Á`¥«­È,¤µ¦~¥H¨Ó,¨CªÑ²b­È(¤¸),¨©¥L­È,¨C¤HÀç¦¬(¥a¤¸),¼Ð·Ç®t,¨CªÑÀç¦¬(¤¸),­t¶Å¤ñ¨Ò,ªÑ»ù²b­È¤ñ,"ªÑ¥»(»õ, ¥x¹ô)",Àç·~¤ò§Q²v,²{ª÷ªÑ§Q(¤¸),Àç·~§Q¯q²v,µ|«e²b§Q²v,¸ê²£³ø¹S²v,ªÑªFÅv¯q³ø¹S²v
§_,3034,131.0,131.0,127.5,129.0,-2.0,19.19,2208,53.15,5.5,78498,19.8,46.89,0.84,6560,2.18,25.89,36.35,2.75,60.85,31.17,7.1,14.42,14.47,4.13,0.0
§_,4807,54.5,54.5,54.0,54.5,0.0,46.5,27,22.45,5.5,2080,12.23,28.69,1.05,0,2.59,23.45,23.84,1.9,3.82,30.97,3.0,20.45,20.34,7.76,10.44
§_,8213,27.1,27.8,26.9,27.5,0.35,0.0,2001,14.82,5.5,7459,-8.73,39.2,1.49,1175,1.35,25.61,54.88,0.7,27.12,17.49,1.51290227,8.98,9.76,1.77,3.57
§_,2832,20.0,20.05,19.75,20.05,0.0,15.88,56,11.53,5.49,7262,3.46,23.51,0.74,1488,0.55,3.52,53.04,0.85,36.22,37.74,1.1,15.15,15.16,0.92,1.99
§_,8028,29.35,29.35,28.9,29.2,-0.15,0.0,109,53.2,5.48,3866,0.0,15.96,1.41,0,0.0,4.25,32.8,1.83,13.24,34.78,1.6,14.28,13.71,1.87,2.86
§_,2207,216.5,219.5,216.5,219.5,2.5,10.88,169,11.9,5.47,119886,-35.88,87.1,0.5,10807,1.65,90.78,74.83,2.52,54.62,26.36,12.0,19.47,7.13,0.0,5.09
§_,1905,9.11,9.16,9.08,9.15,0.04,10.18,599,11.48,5.46,10091,-17.94,14.22,0.46,0,1.33,5.51,41.55,0.64,110.28,9.61,0.5,2.95,3.25,0.6,0.93
§_,1319,35.65,37.7,35.55,37.65,2.35,6.38,3849,20.15,5.44,22269,-31.47,34.48,0.18,876,1.47,9.12,42.49,1.09,59.15,22.52,2.05,7.37,8.22,1.05,1.68
§_,2911,9.2,9.58,9.17,9.5,0.35,17.46,371,22.45,5.42,1884,-15.93,14.89,0.78,454,1.77,6.81,48.13,0.64,19.83,44.3,0.51512677,-5.11,-4.41,-0.94,-1.92
§_,2327,310.0,312.0,304.0,312.0,6.0,11.35,12353,14.82,5.4,132344,7.25,131.34,0.52,2674,5.0,72.8,53.84,2.38,42.42,69.3,14.86477692,55.28,56.52,12.36,27.64
§_,1773,86.0,87.3,84.0,85.3,-2.3,9.98,765,22.47,5.39,12795,13.84,30.46,0.44,5702,2.38,13.99,22.42,2.8,15.0,25.22,4.6,13.37,14.62,4.08,5.57
§_,3413,118.5,122.5,118.5,120.5,2.0,23.98,1015,53.15,5.39,9964,-37.5,48.8,0.89,2231,3.28,29.31,48.31,2.47,8.27,28.65,6.0,18.51,16.45,4.35,8.85
§_,1733,28.25,28.25,27.7,27.95,-0.1,9.9,204,38.67,5.37,2787,-7.54,16.85,0.43,0,1.28,5.57,36.26,1.66,9.97,34.12,1.50054167,18.18,18.49,2.61,4.26
§_,2880,17.7,17.75,17.6,17.7,0.0,16.36,4976,11.53,5.37,204322,13.46,15.19,0.75,1324,0.64,1.15,93.65,1.17,1154.36,0.0,0.5,0.0,35.5,0.16,2.45
§_,2908,22.5,22.5,22.25,22.4,-0.1,17.28,453,22.45,5.36,11421,3.08,14.82,0.77,1813,0.71,19.29,70.65,1.51,50.99,25.75,1.2,1.67,1.89,0.85,2.23
§_,6452,146.0,151.0,146.0,150.0,0.5,0.0,1716,38.67,5.33,11700,-62.94,85.7,1.35,0,3.16,17.23,27.47,1.75,7.8,41.24,8.0,27.0,26.3,2.74,3.58
§_,1612,9.38,9.4,9.3,9.39,0.04,9.29,116,14.36,5.32,2968,-10.66,14.55,0.4,2712,1.44,3.29,15.63,0.65,31.61,9.2,0.5,4.42,6.09,1.16,1.37
§_,1720,30.1,30.15,30.0,30.1,0.0,9.77,48,38.85,5.32,5379,-12.09,20.34,0.42,773,1.65,5.11,34.08,1.48,17.87,44.49,1.6,13.18,18.9,2.23,3.41
§_,2636,24.5,24.6,24.3,24.45,-0.05,15.3,291,22.46,5.32,2894,12.67,20.48,0.71,2044,1.45,26.88,53.88,1.19,11.83,16.79,1.3,3.34,4.11,2.2,4.53
§_,2820,13.35,13.4,13.3,13.4,0.0,15.85,184,11.53,5.3,17996,-8.47,17.2,0.73,4473,0.62,0.52,88.3,0.78,134.3,0.0,0.71,0.0,58.65,0.17,1.42
§_,8473,56.8,56.8,56.2,56.6,-0.2,0.0,96,30.44,5.3,7483,-4.41,41.97,1.58,0,1.22,8.19,46.82,1.35,13.22,20.61,3.0,15.18,13.9,1.18,1.88
§_,1234,28.4,28.45,28.35,28.4,0.2,4.77,40,22.54,5.28,11413,-5.21,43.63,0.11,2522,0.57,6.34,25.68,0.65,40.19,31.12,1.5,6.29,12.24,1.24,1.65
§_,6285,72.8,74.0,72.4,73.9,1.1,0.0,1305,36.37,5.28,27645,-7.51,37.82,1.29,1577,1.58,40.01,57.41,1.95,37.41,13.44,3.70032284,4.61,5.14,2.06,4.75
§_,1541,28.25,28.95,28.25,28.5,-0.3,8.96,4,15.82,5.26,2246,-37.47,14.44,0.38,2221,2.14,12.83,59.08,1.97,7.88,13.02,1.5,4.46,4.74,1.4,3.32
§_,1907,11.45,11.45,11.3,11.4,-0.05,10.21,1198,11.48,5.26,18928,-13.96,22.11,0.46,0,1.68,12.04,59.91,0.52,166.04,15.59,0.6,3.84,6.16,0.99,2.06
§_,2115,28.85,29.0,28.7,28.7,-0.2,10.75,33,25.36,5.23,2352,-33.6,25.92,0.5,479,1.07,8.18,34.47,1.11,8.2,22.01,1.5,10.46,11.88,1.76,2.57
§_,2472,43.2,43.3,41.6,42.1,-1.0,13.37,504,14.82,5.23,5440,-28.97,24.91,0.64,739,3.19,16.8,49.73,1.69,12.92,28.37,2.2,17.49,15.66,2.47,4.82
§_,2891,20.8,20.8,20.5,20.7,0.0,17.04,24893,11.53,5.22,403588,6.32,15.77,0.76,1853,1.22,1.85,94.36,1.31,1949.7,0.0,1.08,0.0,35.44,0.18,3.02
§_,2206,19.6,19.75,19.55,19.55,0.05,10.87,679,11.9,5.21,16688,-4.17,16.48,0.5,0,0.86,10.09,60.17,1.19,85.36,16.98,1.01815585,0.44,17.4,3.34,8.45
§_,9939,47.9,48.3,47.6,47.95,0.05,0.0,154,30.44,5.21,14044,-12.4,42.05,0.0,1296,1.04,19.16,56.15,1.14,29.29,18.62,2.5,9.38,7.94,1.32,2.58
§_,1444,9.61,9.64,9.57,9.61,0.04,7.66,700,30.13,5.2,9200,-13.81,11.46,0.28,0,1.76,3.49,41.56,0.84,95.73,8.21,0.5,2.86,2.86,0.44,0.57
§_,4566,46.05,47.0,46.0,46.05,-0.35,40.14,17,15.82,5.19,3039,0.0,31.42,1.04,940,0.0,13.16,53.41,1.47,6.6,22.37,2.39,6.44,8.93,1.29,2.64
§_,8163,38.4,38.9,37.9,38.6,0.45,0.0,7339,16.62,5.18,10808,33.75,30.49,1.48,509,3.87,20.62,51.56,1.27,28.0,26.47,2.0,15.0,14.1,3.79,7.73
§_,5471,28.9,29.15,28.65,29.0,0.15,97.27,118,53.2,5.17,4868,-16.55,17.38,1.09,1575,1.37,5.12,16.61,1.67,16.79,41.19,1.5,11.89,18.27,3.75,0.0
§_,2108,29.45,29.45,29.0,29.1,-0.15,10.71,525,25.36,5.15,14329,34.47,15.33,0.49,6223,1.28,8.01,19.24,1.9,49.24,22.09,1.0,13.67,15.45,4.94,6.22
§_,3305,19.65,20.0,19.55,20.0,0.55,22.28,37,26.7,5.14,2430,-20.57,29.92,0.88,0,1.25,12.3,46.17,0.67,12.15,10.37,1.02726076,2.41,2.69,0.38,0.55
§_,1717,23.55,23.55,23.45,23.45,-0.1,9.74,201,22.47,5.12,29085,-17.05,16.69,0.42,2194,0.9,9.0,61.73,1.41,124.03,17.52,0.5,5.18,4.82,0.95,0.0
