¥i§ë¸ê,¤½¥q¥N½X,¶}½L»ù,³Ì°ª»ù,³Ì§C»ù,¦¬½L»ù,º¦¶^,¥»¯q¤ñ,¦¨¥æ¶q,¦P·~¥­§¡¥»¯q¤ñ,´Þ§Q²v,Á`¥«­È,¤µ¦~¥H¨Ó,¨CªÑ²b­È(¤¸),¨©¥L­È,¨C¤HÀç¦¬(¥a¤¸),¼Ð·Ç®t,¨CªÑÀç¦¬(¤¸),­t¶Å¤ñ¨Ò,ªÑ»ù²b­È¤ñ,"ªÑ¥»(»õ, ¥x¹ô)",Àç·~¤ò§Q²v,²{ª÷ªÑ§Q(¤¸),Àç·~§Q¯q²v,µ|«e²b§Q²v,¸ê²£³ø¹S²v,ªÑªFÅv¯q³ø¹S²v
¬O,1102,33.7,33.7,33.0,33.4,-0.1,1.5,9687,16.27,3.59,112272,21.68,41.12,-0.36,0,1.94,5.91,42.96,0.81,336.14,28.15,1.2,23.31,27.23,1.65,2.64
§_,2495,11.2,11.2,11.1,11.15,-0.05,13.81,152,26.7,3.59,3118,-20.01,14.55,0.67,553,1.19,1.07,14.8,0.77,27.96,38.83,0.39997632,-12.05,-4.83,-0.21,-0.28
§_,3189,39.8,41.9,39.7,41.8,2.5,21.63,2988,53.15,3.59,18845,-20.5,61.5,0.87,0,2.58,14.23,31.69,0.68,45.08,22.67,1.5,6.42,6.46,0.77,1.04
§_,6605,69.3,69.8,69.3,69.8,0.5,0.0,21,15.82,3.58,11574,-20.02,74.85,1.39,0,1.2,24.13,59.29,0.93,16.58,26.14,2.5,10.42,6.09,0.89,1.61
¬O,1707,189.5,190.0,186.0,187.0,-2.5,9.62,344,38.85,3.57,25394,-7.4,39.12,0.41,0,1.92,16.36,35.28,4.78,13.58,79.21,6.67601019,26.88,27.81,4.95,8.09
§_,4739,85.0,86.2,84.0,84.4,-0.6,42.65,1076,22.47,3.57,7844,-24.34,35.89,1.04,4361,3.31,19.89,47.57,2.35,9.29,13.32,3.00950888,9.69,8.26,1.68,2.87
§_,2365,8.46,8.53,8.4,8.47,0.02,11.72,386,16.63,3.56,2012,-15.38,14.5,0.56,707,2.09,2.22,31.46,0.58,23.75,23.58,0.30186942,1.66,4.74,0.39,0.49
§_,3583,54.2,56.5,54.2,56.2,1.5,25.61,200,53.15,3.56,4560,-32.03,29.33,0.94,0,3.03,15.76,38.66,1.92,8.11,33.18,2.0,13.47,13.05,3.41,5.65
§_,5519,10.9,11.3,10.85,11.3,0.45,118.89,306,30.3,3.54,2082,12.55,17.88,1.1,6290,1.98,3.11,62.63,0.63,18.42,27.61,0.4,19.04,19.81,1.2,3.19
§_,2885,15.65,15.8,15.55,15.75,0.15,16.49,27751,11.53,3.53,184058,19.05,18.07,0.75,1194,1.2,1.43,90.12,0.87,1168.62,0.0,0.556315,0.0,47.96,0.27,2.67
§_,4764,77.0,77.5,76.5,76.5,-0.5,45.85,138,22.47,3.53,5340,0.0,34.37,1.05,2826,0.0,15.83,41.38,2.23,6.98,28.15,2.7,17.59,17.84,3.72,6.01
¬O,2527,23.1,23.1,22.1,22.75,-1.1,14.15,1111,30.3,3.52,6149,-5.37,26.64,0.68,0,2.12,7.47,67.78,0.85,27.03,31.6,0.8,17.72,21.12,1.3,3.7
¬O,2637,28.35,28.45,28.1,28.4,0.05,15.44,750,22.46,3.51,17556,1.61,44.6,0.71,1280,1.01,5.47,68.92,0.64,61.82,28.6,0.99783348,27.45,13.48,0.92,1.69
§_,2351,70.0,73.4,69.5,71.5,1.5,11.53,525,53.15,3.5,13023,-14.2,30.14,0.54,1004,2.77,15.07,47.36,2.37,18.21,19.17,2.5,11.11,11.05,2.29,4.27
§_,1589,44.8,45.65,43.7,44.0,-0.7,9.09,327,15.82,3.49,4911,-29.08,73.79,0.39,694,3.1,13.96,41.19,0.6,11.16,13.84,1.533691,-2.78,-1.66,-0.08,0.0
§_,1735,14.45,14.45,14.45,14.45,0.15,9.91,1,22.47,3.46,1436,-22.48,13.81,0.43,2821,1.57,9.17,55.27,1.05,9.94,13.82,0.5,2.83,1.13,0.18,0.11
¬O,2330,229.5,232.0,228.5,231.0,2.5,11.41,22230,53.15,3.46,5989918,4.32,60.75,0.53,0,1.62,10.04,20.0,3.8,2593.04,47.39,8.0,36.58,37.99,4.46,5.81
§_,2448,24.1,24.1,22.8,23.1,-0.8,13.02,35354,72.78,3.46,25149,-47.74,46.44,0.63,1399,3.09,5.2,19.49,0.5,108.87,18.44,0.8,2.22,0.43,0.1,0.02
§_,2468,11.8,11.8,11.55,11.6,-0.2,13.31,202,16.31,3.45,812,6.72,16.02,0.64,1739,2.47,7.41,29.45,0.72,7.0,10.1,0.4,2.26,2.9,0.75,1.08
§_,1477,172.0,174.5,169.5,174.5,2.0,8.32,2017,30.13,3.44,36538,45.96,39.77,0.34,244,1.8,36.44,33.49,4.39,20.94,19.13,6.0,9.11,9.56,4.47,7.04
§_,2103,28.6,28.75,27.95,28.0,-0.6,10.63,713,25.36,3.43,23120,-22.42,18.1,0.49,5088,1.55,9.13,44.06,1.55,82.57,9.83,0.96,2.8,3.17,0.81,1.22
§_,4164,32.15,32.25,31.9,32.1,-0.05,33.9,23,38.85,3.43,4491,-6.47,35.24,1.0,3872,1.45,5.26,53.86,0.91,13.99,30.98,1.1,21.35,16.64,1.05,1.97
§_,4555,58.5,58.5,58.3,58.3,0.0,37.92,2,15.82,3.43,3899,-11.76,39.08,1.03,607,1.79,6.61,35.02,1.49,6.69,36.4,2.0,10.78,8.92,0.7,0.99
§_,1220,11.7,11.7,11.6,11.7,0.0,4.09,79,22.54,3.42,2072,16.3,12.55,0.1,0,0.73,4.19,20.95,0.93,17.71,10.95,0.4,2.55,3.49,0.71,0.88
§_,3004,58.6,58.6,58.0,58.5,-0.1,17.98,80,35.73,3.42,3080,19.83,30.79,0.8,1023,1.92,11.01,63.94,1.9,5.26,31.49,2.0,16.65,17.54,1.87,4.92
§_,3596,58.3,58.6,57.3,58.5,0.5,26.15,2611,36.37,3.42,11063,15.82,46.64,0.95,2216,2.89,35.73,55.38,1.25,18.91,11.55,2.0,3.57,3.4,0.91,1.95
§_,4956,14.7,14.7,14.5,14.6,-0.05,56.45,139,49.65,3.42,1466,-31.52,20.22,1.06,634,2.58,3.08,33.33,0.72,10.04,18.91,0.5,0.55,-1.84,-0.1,-0.21
¬O,1507,58.7,58.9,58.5,58.7,0.0,8.44,455,15.82,3.41,24115,27.39,27.27,0.34,675,1.68,8.51,48.02,2.15,41.08,23.28,2.0,5.93,7.48,0.8,1.57
§_,5469,23.55,23.6,23.05,23.45,-0.05,92.59,3604,14.82,3.41,10563,11.45,46.14,1.09,0,3.42,27.37,54.98,0.51,45.04,16.93,0.8,7.54,9.55,1.45,2.63
§_,2739,29.55,30.0,29.5,29.8,0.1,15.69,53,53.92,3.36,3323,-23.31,15.75,0.73,0,1.32,9.06,46.19,1.89,11.15,33.91,1.0,-2.05,-1.52,-0.38,-0.72
§_,1618,9.07,9.11,9.01,9.02,-0.1,9.42,206,14.36,3.33,2173,0.67,16.71,0.41,0,1.51,2.39,8.74,0.54,24.09,5.06,0.3,1.75,1.18,0.1,0.11
§_,4536,90.3,90.3,88.8,90.0,0.0,36.16,47,30.44,3.33,8174,3.81,52.9,1.02,350,1.25,23.01,48.8,1.7,9.08,30.09,3.0,15.86,18.46,2.66,5.02
§_,2239,118.0,118.5,116.0,117.5,-0.5,10.95,189,11.9,3.32,13983,-16.72,93.75,0.51,1684,1.81,47.22,55.64,1.25,11.9,19.56,3.9,9.65,7.81,1.48,2.88
§_,3013,15.05,15.2,14.7,15.05,0.0,18.26,278,16.63,3.32,2558,-30.45,13.76,0.81,431,2.21,12.03,49.52,1.09,16.99,10.43,0.5,5.23,7.68,2.74,5.2
§_,9919,10.5,10.55,10.45,10.55,0.05,0.0,40,30.44,3.32,2080,-13.81,12.2,0.0,0,1.46,4.86,51.76,0.86,19.71,14.73,0.35,-0.51,-1.41,-0.06,-0.47
§_,4916,30.1,30.1,29.7,29.85,0.2,48.17,238,16.63,3.31,2453,-13.38,17.33,1.05,3421,2.1,26.66,57.59,1.72,8.22,24.77,0.98909225,6.18,4.75,0.97,0.0
¬O,1904,21.3,21.4,21.05,21.2,-0.15,10.17,2375,11.48,3.3,23495,35.64,20.14,0.46,1222,1.7,9.23,59.37,1.05,110.83,24.0,0.7,9.11,9.16,1.32,2.95
§_,4106,24.2,24.5,24.2,24.5,0.5,30.76,63,38.85,3.27,2043,-15.72,19.28,0.99,0,1.66,5.92,38.68,1.27,8.34,41.72,0.8,5.31,7.04,1.07,1.63
§_,1527,43.05,43.25,42.3,43.0,-0.2,8.79,1449,15.82,3.26,5932,-34.04,25.7,0.37,1395,2.42,7.45,75.63,1.67,13.8,29.75,1.4,19.42,25.44,1.58,6.08
§_,2312,9.39,9.48,9.39,9.48,0.09,11.15,617,26.7,3.25,13800,-7.24,11.74,0.52,1122,1.14,26.93,72.96,0.81,145.57,7.11,0.30849809,2.67,1.88,0.77,1.87
§_,2615,15.35,15.55,15.35,15.45,0.1,15.1,480,22.46,3.24,34273,-17.34,15.35,0.71,0,1.21,7.81,54.71,1.01,221.83,7.03,0.5,1.33,3.7,0.77,1.36
¬O,1701,18.35,18.7,18.3,18.6,0.35,9.5,1449,38.85,3.23,5544,2.82,18.94,0.41,1243,1.45,6.74,47.68,0.98,29.81,35.82,0.6,3.21,6.16,1.05,1.85
§_,2201,18.25,18.3,18.05,18.2,0.0,10.79,1937,11.9,3.19,28627,-22.52,45.78,0.5,1746,1.16,12.95,71.76,0.4,157.29,24.54,0.58,3.76,5.23,0.26,0.79
§_,4119,68.9,68.9,67.0,67.4,-1.0,32.25,623,38.85,3.19,5357,20.98,39.01,0.99,2120,1.67,6.53,16.16,1.73,7.95,40.74,2.15,28.77,29.97,3.46,4.18
§_,1503,39.85,41.0,39.85,40.95,1.25,8.36,219,15.82,3.17,21334,2.38,44.2,0.34,0,1.3,12.03,41.98,0.93,52.1,19.16,1.3,6.82,9.24,1.2,2.01
§_,1614,22.2,22.4,22.1,22.15,-0.2,9.3,21,14.36,3.14,5961,-0.18,19.88,0.4,0,1.04,4.86,22.42,1.11,26.91,20.42,0.69647415,5.32,5.48,0.94,1.22
¬O,2362,26.25,26.95,26.05,26.8,1.25,11.69,1083,16.63,3.14,18218,-5.23,66.51,0.55,1573,1.53,7.98,61.04,0.4,67.98,29.02,0.84112268,8.43,11.6,0.33,0.48
§_,3533,179.0,180.0,174.5,175.0,-1.0,25.08,1100,14.82,3.14,16358,-11.24,94.03,0.93,0,3.05,39.65,31.81,1.86,9.35,33.55,5.5,16.89,18.72,4.06,5.82
§_,1711,15.85,15.95,15.8,15.95,0.15,9.64,95,22.47,3.13,8737,-13.46,13.96,0.42,0,1.18,4.56,42.82,1.14,54.78,23.12,0.5,6.02,6.95,1.17,1.8
§_,3376,80.1,81.3,79.3,79.8,-0.2,23.21,449,14.82,3.13,14262,9.42,68.76,0.89,752,1.91,15.61,25.37,1.16,17.87,25.51,2.5,16.97,19.67,2.43,3.33
§_,6141,15.15,16.1,15.0,15.95,0.85,0.0,1407,14.82,3.13,2108,-4.09,13.33,1.18,583,3.28,8.22,62.67,1.2,13.22,15.94,0.5,4.74,0.61,0.12,-0.33
§_,1609,11.35,11.45,11.2,11.25,-0.2,9.26,2713,14.36,3.11,6437,-16.97,11.94,0.4,7779,2.97,8.29,59.64,0.94,57.22,5.24,0.35,0.3,0.35,0.41,0.38
§_,3055,26.35,26.4,26.25,26.25,-0.2,20.28,289,11.42,3.05,2717,7.85,25.76,0.86,2944,2.58,7.71,30.91,1.02,10.35,19.6,0.8,-0.76,0.09,-0.08,-0.12
§_,3653,66.5,67.6,65.5,66.1,0.5,26.43,424,14.82,3.03,7028,2.02,43.23,0.96,742,2.73,11.51,29.08,1.53,10.63,27.18,2.0,14.75,17.43,2.52,3.59
§_,1516,16.4,16.4,16.15,16.35,-0.1,8.61,35,30.44,3.02,521,15.14,11.59,0.35,21098,3.26,7.94,20.15,1.41,3.19,3.42,0.0,2.27,3.03,1.44,2.09
¬O,2514,16.35,16.9,16.35,16.65,0.4,13.98,1810,30.44,3.0,8423,13.03,19.93,0.68,0,1.36,0.05,30.31,0.84,50.59,59.49,0.25,-168.97,1260.45,2.38,3.11
§_,3645,50.8,51.3,49.7,50.2,-0.2,26.4,2013,14.82,2.99,6188,-39.06,19.59,0.96,1550,3.89,5.03,35.08,2.56,12.33,39.69,1.5,26.53,27.07,3.59,5.56
§_,4190,85.9,86.9,83.5,83.5,-1.5,34.0,944,38.85,2.99,5268,51.98,27.46,1.01,0,3.49,12.74,67.05,3.04,6.31,76.11,2.5,21.17,21.37,2.43,7.51
§_,1536,126.5,127.5,124.5,126.5,1.5,8.88,1097,15.82,2.96,32252,-11.63,25.72,0.38,1292,2.15,7.37,57.04,4.92,25.5,32.23,3.75,19.02,20.61,2.34,5.29
§_,8404,43.8,44.2,43.0,43.95,0.2,0.0,334,30.44,2.96,12826,-20.54,15.68,1.51,451,2.38,4.0,65.57,2.8,29.18,35.74,0.3,8.87,3.0,0.16,-0.11
§_,1526,32.15,33.95,32.0,33.95,3.05,8.76,8107,15.82,2.95,2037,-45.59,16.05,0.37,1723,4.16,6.14,58.44,2.12,6.0,27.37,1.0,13.98,16.13,2.13,5.03
§_,6133,8.45,8.48,8.45,8.48,0.08,0.0,3,14.99,2.95,992,-15.79,12.84,1.17,229,1.61,2.4,18.8,0.66,11.7,19.11,0.25,0.06,2.7,0.36,0.42
§_,1440,12.3,12.3,12.15,12.3,0.0,7.48,351,30.13,2.93,20379,-7.1,15.3,0.26,866,1.18,3.82,42.35,0.8,165.68,13.28,0.36,4.5,7.14,0.99,1.59
§_,4935,34.45,34.45,34.1,34.4,0.2,52.64,43,72.78,2.91,4504,-21.76,46.2,1.06,1250,1.3,14.17,32.11,0.74,13.09,14.84,1.0,5.93,7.65,1.53,2.17
§_,2520,17.25,17.55,17.05,17.25,0.0,14.12,1278,30.3,2.9,8690,-13.4,21.91,0.68,2841,1.96,5.27,76.12,0.79,50.38,24.13,0.5,-0.2,-7.14,-0.34,-2.07
§_,8411,12.5,12.5,12.0,12.1,-0.4,0.0,90,30.44,2.89,2122,-50.75,31.08,1.52,1071,1.27,7.18,38.44,0.39,17.54,9.13,0.35,-1.2,-2.69,-0.18,-0.66
§_,1473,17.5,17.6,17.4,17.55,0.1,8.27,27,30.13,2.87,2583,-24.55,25.72,0.33,157,1.0,17.39,39.58,0.68,14.72,14.77,0.50342913,3.98,3.6,1.46,2.23
¬O,2395,227.5,231.0,226.0,231.0,3.5,12.19,390,16.63,2.86,161133,13.62,39.92,0.59,1616,1.39,17.72,33.53,5.79,69.75,38.52,6.59515558,15.42,17.57,3.91,6.28
§_,3530,71.5,71.5,70.0,70.2,-0.8,24.96,53,53.15,2.84,5440,0.0,26.93,0.92,9840,0.0,6.33,10.06,2.61,7.75,19.24,1.9953083999999999,3.24,3.72,0.89,1.08
§_,2913,17.2,17.4,17.15,17.35,0.15,17.5,2668,22.45,2.81,12262,12.3,20.44,0.79,320,1.03,0.08,32.78,0.85,70.68,39.44,0.48734177,-82.48,-58.92,-0.08,-0.19
§_,6504,160.0,162.0,160.0,160.0,0.5,0.0,8,30.44,2.81,11616,6.41,39.89,1.36,1810,0.99,22.04,62.18,4.01,7.26,20.02,4.5,13.01,14.54,2.41,6.16
§_,8374,17.8,17.9,17.6,17.8,0.2,0.0,75,15.82,2.81,1583,-37.19,17.91,1.51,0,2.52,10.34,49.39,0.99,8.89,18.15,0.49935413,4.43,2.18,0.5,0.87
§_,2613,11.7,11.8,11.7,11.8,0.0,15.04,42,22.46,2.8,1456,-7.52,27.44,0.7,660,0.7,6.72,52.97,0.43,12.34,9.87,0.33,4.66,3.97,0.41,0.65
§_,1465,14.2,14.45,14.2,14.35,0.35,8.11,227,30.13,2.79,1487,-2.97,15.53,0.32,801,1.59,4.96,15.26,0.92,10.36,11.72,0.4,-1.4,-1.23,-0.38,-0.44
§_,8996,35.95,36.05,35.55,35.8,-0.3,0.0,44,15.82,2.79,3200,-5.42,21.33,1.68,940,2.19,6.18,39.6,1.68,8.94,30.65,1.0,13.34,15.18,2.06,0.0
§_,1324,10.75,10.8,10.6,10.8,0.0,6.61,76,20.15,2.78,811,-11.55,13.29,0.2,688,1.46,3.73,23.62,0.81,7.51,16.13,0.3,0.37,1.02,0.21,0.28
§_,3018,27.95,28.5,27.65,28.1,1.0,18.45,370,26.7,2.78,2059,-62.69,11.79,0.82,0,3.17,5.21,51.01,2.38,7.33,12.11,0.0,0.99,-34.35,-6.68,0.0
§_,3443,182.0,184.0,178.5,180.5,-1.5,24.18,4260,53.15,2.77,24189,-27.8,30.51,0.9,6377,4.02,29.22,57.68,5.92,13.4,28.08,5.0,8.04,8.34,2.95,7.1
¬O,1470,18.3,18.3,17.8,18.1,-0.15,8.22,4,30.13,2.76,1552,4.87,10.8,0.33,695,2.19,2.26,16.71,1.68,8.58,22.99,0.5,7.48,10.11,1.42,1.73
§_,2722,29.2,29.2,29.2,29.2,-0.25,15.67,0,53.92,2.74,3256,-15.92,15.23,0.72,0,1.62,1.97,26.28,1.92,11.15,41.24,0.4,12.37,12.22,1.16,1.51
§_,4133,29.55,29.55,29.3,29.3,-0.05,32.5,14,38.85,2.73,1774,-23.76,19.66,1.0,0,1.47,1.75,5.35,1.49,6.06,45.85,0.8,5.79,9.07,0.77,0.83
§_,3708,76.1,76.6,72.5,73.1,-2.2,29.82,3857,22.47,2.72,6835,-9.84,48.91,0.99,2967,4.04,16.51,40.54,1.49,9.35,17.62,1.99048643,1.49,51.57,8.84,14.97
§_,2607,12.85,12.95,12.8,12.9,0.1,14.79,722,22.46,2.71,13766,-6.39,20.75,0.7,1446,1.04,1.84,32.46,0.62,106.71,15.89,0.35,12.68,18.82,1.09,1.42
¬O,2027,45.7,45.85,44.5,44.85,-0.25,10.38,8052,35.73,2.68,55335,121.59,20.14,0.48,5213,3.1,21.59,58.51,2.23,123.38,22.28,0.8,12.26,11.29,2.78,6.73
§_,2317,73.3,75.4,72.5,74.5,1.2,11.32,37827,26.7,2.68,1032793,-33.95,83.03,0.52,0,1.57,99.26,63.09,0.9,1386.3,5.87,2.0,2.28,2.5,1.13,1.9
§_,2436,22.4,22.65,22.15,22.35,-0.1,12.79,198,53.15,2.68,3979,-33.36,16.61,0.62,2359,1.89,3.88,28.28,1.35,17.8,26.19,0.60003774,9.11,9.73,1.26,1.7
§_,8341,226.5,227.0,221.0,223.5,-1.5,0.0,177,30.44,2.68,24920,-9.78,22.99,1.51,1407,2.1,5.13,38.29,9.72,11.15,59.34,6.0,42.16,44.17,4.88,8.09
§_,2723,236.5,237.5,225.5,226.0,-12.0,15.68,891,53.92,2.67,40680,-41.59,56.11,0.73,270,2.79,33.19,36.71,4.03,18.0,58.22,6.0,7.07,7.57,2.12,3.37
§_,3037,17.45,18.7,17.4,18.7,1.7,19.36,92293,14.82,2.66,28144,18.28,28.1,0.84,777,2.72,14.27,55.69,0.67,150.5,14.1,0.49822031,5.79,5.57,1.14,2.23
§_,3062,12.6,13.35,12.6,13.2,0.7,20.81,1240,36.37,2.65,4338,-25.84,16.89,0.87,0,1.91,6.04,29.32,0.78,32.86,7.28,0.3501555,1.14,2.89,0.55,0.78
§_,2515,7.03,7.1,7.02,7.1,0.07,14.0,4076,30.3,2.63,10869,-11.25,13.07,0.68,0,1.74,1.79,49.07,0.54,153.09,8.55,0.187,1.94,2.12,0.12,0.18
§_,2101,27.3,27.4,26.95,27.1,-0.25,10.61,603,25.36,2.61,22600,4.43,12.88,0.49,0,1.34,3.19,55.79,2.1,83.39,15.79,0.7068576,3.88,3.19,0.21,0.24
§_,8463,32.0,32.2,31.6,31.8,0.0,0.0,302,30.44,2.61,4770,87.72,15.46,1.57,1831,3.35,4.47,49.19,2.06,15.0,10.97,0.83,4.42,4.73,0.65,1.13
§_,1713,17.1,17.35,16.95,16.95,0.0,9.65,15,22.47,2.6,2559,2.79,15.24,0.42,1680,1.55,1.05,6.9,1.11,15.1,10.71,0.44,2.58,18.74,1.17,1.27
§_,3019,61.6,61.7,60.2,61.7,0.9,18.46,1915,49.65,2.59,17343,-34.64,40.83,0.82,504,2.97,18.25,26.34,1.51,28.11,21.69,1.6,10.52,12.87,2.66,3.67
§_,9910,195.0,195.5,192.5,194.0,-0.5,0.0,1112,30.44,2.58,129580,47.71,21.24,2.05,167,2.29,25.69,50.89,9.13,66.79,26.0,5.0,13.2,15.13,5.55,11.63
§_,5203,66.0,66.0,65.9,66.0,0.0,64.0,37,16.31,2.56,5595,1.1,44.97,1.08,1061,1.72,4.31,25.34,1.47,8.48,87.26,1.69130668,23.22,23.82,1.32,1.8
§_,5258,15.7,16.1,15.6,15.65,-0.8,68.06,124,16.63,2.56,1167,-37.4,19.04,1.09,0,2.44,4.72,53.92,0.82,7.45,32.61,0.4,-15.8,-19.84,-1.64,-4.05
§_,5225,29.1,29.1,27.75,27.85,-0.65,65.21,258,26.7,2.53,1725,-2.14,26.3,1.08,902,2.39,47.34,70.81,1.06,6.19,15.19,0.70377221,7.36,8.91,4.29,14.18
§_,1218,15.95,16.0,15.9,15.95,0.0,3.99,531,22.54,2.51,7975,-3.57,13.14,0.09,2237,1.8,4.65,33.49,1.21,50.0,20.0,0.4,4.3,9.72,2.3,3.34
§_,2456,76.2,77.7,75.6,77.7,1.5,13.1,3744,14.82,2.5,17315,-41.34,99.95,0.63,0,4.21,27.11,44.01,0.78,22.28,41.98,1.94539488,29.55,29.05,3.79,6.52
§_,9921,132.0,141.0,132.0,140.5,12.0,0.0,12015,30.44,2.49,52696,-11.72,53.32,0.0,1319,2.04,43.32,57.55,2.64,37.51,22.51,3.5,8.29,8.96,2.14,4.82
§_,1445,8.02,8.1,8.0,8.1,0.08,7.67,248,30.13,2.47,1123,-0.49,13.05,0.28,1004,0.93,2.8,15.7,0.62,13.87,5.58,0.2,-2.32,-1.15,-0.09,-0.11
§_,3002,10.0,10.15,10.0,10.15,0.05,17.82,84,16.63,2.46,1035,-20.08,11.93,0.79,0,1.22,1.52,26.33,0.85,10.2,28.75,0.25,2.24,3.91,0.24,0.32
§_,8072,20.3,20.3,20.3,20.3,-0.05,0.0,10,11.42,2.46,1624,-3.78,29.37,1.43,668,1.25,2.66,6.33,0.69,8.0,17.47,0.5,-1.4,1.42,-0.02,-0.02
§_,1590,300.0,318.0,291.0,292.5,-7.5,9.12,5533,15.82,2.45,55290,-44.01,86.13,0.39,576,3.91,20.36,52.01,3.4,18.9,46.49,7.16,24.29,17.22,1.5,2.8
¬O,2492,159.5,164.5,158.5,164.0,6.0,13.78,40216,14.82,2.45,79671,58.18,63.54,0.67,1969,5.36,37.28,45.46,2.58,48.58,70.77,4.0186941,64.14,64.7,16.81,31.4
§_,3588,20.3,20.65,20.3,20.4,0.1,25.61,75,53.15,2.45,958,-21.21,27.98,0.94,2041,2.03,6.3,15.13,0.73,4.7,37.84,0.50074915,5.88,6.12,0.76,0.9
§_,3669,16.5,16.5,16.3,16.3,0.0,26.59,14,49.65,2.45,1515,-15.63,26.1,0.96,0,1.38,6.54,17.66,0.62,9.29,44.73,0.39940594,4.47,4.9,0.66,0.79
¬O,1476,392.0,396.0,386.0,390.0,0.0,8.31,483,30.13,2.44,107003,34.7,57.22,0.34,405,2.21,23.78,25.57,6.82,27.44,29.17,9.5,19.72,19.83,4.84,6.83
§_,6120,17.3,17.45,16.5,16.5,-0.5,1700.0,8020,72.78,2.42,10982,-54.83,17.72,1.17,667,3.97,9.36,52.2,0.93,66.56,8.39,0.4,1.02,3.98,0.75,1.48
§_,1454,8.22,8.32,8.22,8.3,0.05,7.89,288,30.13,2.41,1165,0.36,12.01,0.3,0,0.87,3.53,22.17,0.69,14.03,6.51,0.2,-1.24,0.03,0.04,0.03
§_,2387,17.05,17.05,16.6,16.8,-0.3,12.09,456,16.63,2.4,3702,-0.47,34.4,0.58,203,1.32,14.23,42.69,0.49,22.03,12.97,0.40306163,2.8,6.72,0.83,1.35
§_,2243,19.35,21.25,18.5,20.9,1.55,10.98,125,11.9,2.39,869,-52.73,23.61,0.51,1042,3.26,17.03,74.1,0.89,4.16,13.63,0.5,4.86,3.26,0.79,2.28
§_,8443,11.95,11.95,11.85,11.85,-0.1,0.0,38,22.45,2.36,792,-13.63,23.23,1.56,0,1.49,5.62,32.49,0.51,6.68,57.1,0.28,-5.75,-3.71,-0.54,-0.8
§_,2485,17.0,17.2,16.95,17.0,-0.05,13.66,418,36.37,2.35,5401,-45.32,21.36,0.66,625,1.84,6.28,20.35,0.8,31.77,10.18,0.4,0.41,2.47,0.91,1.16
¬O,2633,32.35,32.4,31.65,31.9,-0.1,15.19,9035,22.46,2.35,83843,39.91,11.99,0.71,2558,1.28,2.01,84.24,2.66,262.83,44.08,0.75,41.57,15.47,0.78,3.17
§_,3008,3190.0,3190.0,3055.0,3095.0,-95.0,18.13,824,72.78,2.34,415163,-19.33,752.69,0.8,2697,3.34,121.77,18.15,4.11,13.41,71.3,72.5,62.56,62.41,6.72,8.64
¬O,1760,65.5,66.5,64.3,64.8,-0.7,9.93,196,38.85,2.31,4973,0.0,16.44,0.44,872,0.0,4.32,26.07,3.94,7.67,56.72,1.5,13.28,13.74,1.26,1.75
¬O,1587,19.05,19.45,19.05,19.45,-0.15,9.05,3,15.82,2.28,1317,0.0,17.76,0.39,673,0.0,5.6,52.04,1.1,6.77,25.05,0.44320589,5.01,3.56,0.38,0.55
¬O,2427,11.5,11.55,11.2,11.2,-0.35,12.6,382,16.31,2.23,2064,14.05,11.41,0.61,765,2.24,3.03,50.05,0.98,18.43,37.78,0.25,2.68,3.08,0.38,0.64
§_,6155,20.45,20.45,19.9,20.15,0.05,0.0,290,14.82,2.23,1739,3.07,16.22,1.19,0,4.13,2.2,36.84,1.24,8.63,31.1,0.45,13.84,24.16,1.7,2.62
¬O,1515,55.4,55.4,52.9,54.2,-0.6,8.59,3922,15.82,2.21,9836,7.86,13.28,0.35,1040,3.33,8.16,58.31,4.08,18.15,20.72,1.2,6.37,7.78,1.62,3.55
§_,4426,45.0,46.05,44.7,45.15,0.05,34.72,1197,30.13,2.21,6709,-0.31,20.03,1.01,0,3.2,3.65,38.32,2.25,14.86,29.17,0.4,16.59,16.5,1.58,2.42
§_,8021,18.2,18.2,17.8,18.1,0.1,0.0,129,26.7,2.21,2598,-18.28,30.02,1.41,430,1.15,6.08,30.29,0.6,14.35,28.52,0.4,11.02,11.07,1.22,1.64
¬O,1762,22.1,22.8,21.85,22.8,2.05,9.93,1089,38.85,2.19,1768,-4.68,26.42,0.44,0,2.12,2.3,35.12,0.86,7.76,36.06,0.5,-0.86,123.73,6.81,11.4
§_,1519,18.6,18.75,18.25,18.35,-0.25,8.66,184,15.82,2.18,4790,-10.36,11.05,0.36,2726,2.73,6.65,59.29,1.66,26.11,13.27,0.4,3.26,1.89,0.35,0.65
§_,1721,9.09,9.21,9.06,9.19,0.18,9.78,332,22.47,2.18,1997,-33.74,10.37,0.42,1381,1.36,3.95,44.53,0.89,21.73,10.73,0.2,1.95,1.11,0.24,0.28
§_,2505,11.7,11.8,11.7,11.75,0.05,13.92,106,30.3,2.13,8185,-32.47,12.0,0.68,0,1.87,0.1,53.14,0.98,69.66,67.46,0.25,-48.53,-71.73,-0.19,-0.66
§_,2610,10.3,10.3,10.1,10.25,0.05,14.89,10933,22.46,2.13,56078,-10.01,10.56,0.7,0,1.28,8.31,73.31,0.97,547.1,11.75,0.21818200899999998,4.19,3.67,0.66,2.05
